Date,DowChemical,Dupont,S&P500
18/5/2010,-0.006,-0.026,-0.014
17/5/2010,-0.016,0.004,0.001
14/5/2010,-0.061,-0.011,-0.019
13/5/2010,0.008,0.052,-0.012
12/5/2010,0.033,-0.031,0.014
11/5/2010,0.016,0.025,-0.003
10/5/2010,0.073,0.064,0.043
7/5/2010,-0.045,-0.033,-0.015
6/5/2010,-0.063,-0.033,-0.033
5/5/2010,-0.031,0.028,-0.007
4/5/2010,-0.07,-0.009,-0.024
3/5/2010,0.019,0.037,0.013
30/4/2010,-0.032,-0.014,-0.017
29/4/2010,0,0.028,0.013
28/4/2010,0.057,-0.018,0.006
27/4/2010,-0.041,-0.021,-0.024
26/4/2010,0.005,0.012,-0.004
23/4/2010,0.029,-0.007,0.007
22/4/2010,-0.001,-0.002,0.002
21/4/2010,-0.002,0.011,-0.001
20/4/2010,-0.013,0.02,0.008
19/4/2010,0.008,-0.019,0.005
16/4/2010,-0.025,-0.048,-0.016
15/4/2010,0.004,-0.01,0.001
14/4/2010,0.019,0.026,0.011
13/4/2010,-0.005,0.018,0.001
12/4/2010,-0.001,-0.006,0.002
9/4/2010,0.002,0.018,0.007
8/4/2010,-0.002,-0.017,0.003
7/4/2010,-0.012,-0.003,-0.006
6/4/2010,0.005,0.002,0.002
5/4/2010,0.022,0.049,0.008
1/4/2010,0.025,0.008,0.007
31/3/2010,-0.006,-0.009,-0.003
30/3/2010,0.008,0.024,0
29/3/2010,-0.013,-0.021,0.006
26/3/2010,0.006,-0.023,0.001
25/3/2010,-0.016,-0.002,-0.002
24/3/2010,0.013,0.001,-0.006
23/3/2010,0.013,-0.02,0.007
22/3/2010,0.022,0.003,0.005
19/3/2010,-0.036,0,-0.005
18/3/2010,-0.014,-0.024,0
17/3/2010,0,0.019,0.006
16/3/2010,0.015,0.042,0.008
15/3/2010,0.005,0.01,0
12/3/2010,0.015,-0.018,0
11/3/2010,0.012,0.01,0.004
10/3/2010,-0.005,-0.001,0.005
